1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1C0000002C2F6B21
Is Mission Active?  true
Mission Start:  Fri Jan 11 09:01:00 CST 2013
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1145
Total Samples:  8481
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2/4/13 5:01:00 PM,C,5.5
2/4/13 9:01:00 PM,C,5.5
2/5/13 1:01:00 AM,C,5.5
2/5/13 5:01:00 AM,C,5.5
2/5/13 9:01:00 AM,C,5.5
2/5/13 1:01:00 PM,C,5
2/5/13 5:01:00 PM,C,5
2/5/13 9:01:00 PM,C,5.5
2/6/13 1:01:00 AM,C,5.5
2/6/13 5:01:00 AM,C,5.5
2/6/13 9:01:00 AM,C,5.5
2/6/13 1:01:00 PM,C,5.5
2/6/13 5:01:00 PM,C,5.5
2/6/13 9:01:00 PM,C,5.5
2/7/13 1:01:00 AM,C,5.5
2/7/13 5:01:00 AM,C,5.5
2/7/13 9:01:00 AM,C,5.5
2/7/13 1:01:00 PM,C,5.5
2/7/13 5:01:00 PM,C,5.5
2/7/13 9:01:00 PM,C,5.5
2/8/13 1:01:00 AM,C,5.5
2/8/13 5:01:00 AM,C,6
2/8/13 9:01:00 AM,C,6
2/8/13 1:01:00 PM,C,6
2/8/13 5:01:00 PM,C,6
2/8/13 9:01:00 PM,C,6
2/9/13 1:01:00 AM,C,6
2/9/13 5:01:00 AM,C,6
2/9/13 9:01:00 AM,C,6
2/9/13 1:01:00 PM,C,5.5
2/9/13 5:01:00 PM,C,6
2/9/13 9:01:00 PM,C,6
2/10/13 1:01:00 AM,C,6
2/10/13 5:01:00 AM,C,6
2/10/13 9:01:00 AM,C,6
2/10/13 1:01:00 PM,C,6
2/10/13 5:01:00 PM,C,6
2/10/13 9:01:00 PM,C,6
2/11/13 1:01:00 AM,C,6.5
2/11/13 5:01:00 AM,C,6.5
2/11/13 9:01:00 AM,C,6.5
2/11/13 1:01:00 PM,C,6.5
2/11/13 5:01:00 PM,C,6.5
